"(Benchmark_method, commit)",Add Parameter,Change Parameter Type,Change Variable Type,Move Attribute,Remove Method Annotation,Move Method,Extract And Move Method,Add Class Annotation,Change Attribute Type,Extract Method,Parameterize Variable,Add Method Annotation,Inline Method,Extract Interface,Change Return Type,Split Attribute,Replace Variable With Attribute,Remove Parameter,Inline Variable,Extract Attribute,Extract Variable,Move Source Folder,Move Class,Extract Class,Push Down Attribute,Merge Attribute,Modify Method Annotation,Extract Superclass,Pull Up Method,Pull Up Attribute,Merge Variable,Add Attribute Annotation,Change Package,sum,delta
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBufferNoTZLE,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
