"(Benchmark_method, commit)",Move Source Folder,Move Class,Change Attribute Type,Extract Method,Add Parameter,Add Attribute Annotation,Remove Attribute Annotation,Change Parameter Type,Change Variable Type,Remove Class Annotation,Add Method Annotation,Remove Method Annotation,Move Method,Change Return Type,Move Attribute,Extract And Move Method,Extract Variable,Extract Superclass,Pull Up Attribute,Remove Parameter,Modify Method Annotation,Extract Class,Add Parameter Annotation,Inline Method,Add Class Annotation,Modify Class Annotation,Split Attribute,Modify Parameter Annotation,Extract Interface,Pull Up Method,Move And Inline Method,Merge Parameter,Remove Parameter Annotation,Extract Subclass,Push Down Method,Inline Variable,Change Package,Push Down Attribute,Merge Variable,Modify Attribute Annotation,Parameterize Variable,Extract Attribute,Replace Variable With Attribute,Merge Attribute,Replace Attribute,Reorder Parameter,sum,delta
"(zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json_legacy,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,
"(zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_protobuf,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readClientSpan_java,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.writeClientSpan_json,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,
"(zipkin2.EndpointBenchmarks.parseIpv4_addr,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readClientSpan_proto3_protobuf,816882c522163a190a850d40b0275c8b8a83d7bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.WriteBufferBenchmarks.writeVarint_64,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,45fa8ea2f1dcbf1bbbe9a65e9e05879fe7799f73)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
