"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Replace Variable With Attribute,Pull Up Method,Extract Variable,Change Attribute Type,Remove Parameter,Add Parameter,Move Class,Merge Parameter,Move Attribute,Modify Method Annotation,Remove Method Annotation,Extract Superclass,Parameterize Variable,Extract And Move Method,Extract Class,Move Method,Extract Attribute,Pull Up Attribute,Move And Inline Method,Add Class Annotation,Inline Method,Split Parameter,Inline Variable,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Merge Attribute,Extract Interface,Remove Attribute Annotation,Remove Class Annotation,Modify Class Annotation,Split Attribute,Reorder Parameter,Add Attribute Annotation,Modify Attribute Annotation,Split Variable,Move Source Folder,Add Parameter Annotation,Replace Attribute,Change Package,Modify Parameter Annotation,Remove Parameter Annotation,sum,delta
"(org.apache.kafka.jmh.common.FetchRequestBenchmark.testFetchRequestForConsumer,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.FetchRequestBenchmark.testFetchRequestFromStruct,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.cache.LRUCacheBenchmark.testCachePerformance,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.FetchResponseBenchmark.testSerializeFetchResponse,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.partition.UpdateFollowerFetchStateBenchmark.updateFollowerFetchStateBench,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.FetchRequestBenchmark.testSerializeFetchRequestForReplica,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.record.UncompressedRecordBatchValidationBenchmark.measureAssignOffsetsNonCompressed,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.acl.AclAuthorizerBenchmark.testAclsIterator,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.FetchRequestBenchmark.testFetchRequestForReplica,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.consumer.SubscriptionStateBenchmark.testFetchablePartitions,7be8bd8cbfea5cc19f815a142c4689e97728ea4b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
