"(Benchmark_method, commit)",Add Attribute Annotation,Remove Class Annotation,Modify Method Annotation,Remove Method Annotation,Move Class,Remove Attribute Annotation,Change Return Type,Remove Parameter,Add Method Annotation,Change Package,Modify Class Annotation,Add Parameter Annotation,Add Parameter,Change Attribute Type,Change Parameter Type,Remove Parameter Annotation,Extract Method,Extract Variable,Pull Up Attribute,Pull Up Method,Move Attribute,Extract And Move Method,Add Class Annotation,Change Variable Type,Inline Method,Replace Variable With Attribute,Move And Inline Method,Push Down Method,Extract Superclass,Extract Interface,Extract Class,Push Down Attribute,Move Method,Modify Parameter Annotation,Reorder Parameter,Split Parameter,Inline Variable,Parameterize Variable,Move Source Folder,Modify Attribute Annotation,Extract Subclass,Extract Attribute,Split Variable,Merge Parameter,Replace Attribute,sum,delta
"(co.elastic.apm.benchmark.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactory,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpDslJsonReporterContinuousBenchmark.testSerialization,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.ElasticApmContinuousBenchmark.benchmarkWithoutApm,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpDslJsonReporterContinuousBenchmark.testReport,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpMoshiReporterBenchmark.sendPayload,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.consumeCpu,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(co.elastic.apm.agent.benchmark.LettuceNotActiveBenchmark.benchmarkLettuce,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseLongQuery,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseShortQuery,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.LettuceActiveBenchmark.benchmarkLettuce,1b19484ed5a32f3561273ac7ae8eb14ec4a2924b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,2e9e3126f19500ee06df6b4d6342669395322a9a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,2e9e3126f19500ee06df6b4d6342669395322a9a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.consumeCpu,2e9e3126f19500ee06df6b4d6342669395322a9a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
