"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Method,Move Method,Extract And Move Method,Change Attribute Type,Change Variable Type,Merge Parameter,Change Parameter Type,Merge Variable,Extract Class,Move Attribute,Remove Parameter,Modify Attribute Annotation,Add Class Annotation,Remove Method Annotation,Change Return Type,Move Class,Add Method Annotation,Modify Class Annotation,Push Down Method,Parameterize Variable,Modify Method Annotation,Inline Method,Extract Superclass,Extract Subclass,Push Down Attribute,Extract Attribute,Pull Up Attribute,Pull Up Method,Move And Inline Method,Inline Variable,Split Parameter,Replace Variable With Attribute,Reorder Parameter,Remove Class Annotation,Replace Attribute,Move Source Folder,Extract Interface,Change Package,Modify Parameter Annotation,Add Attribute Annotation,Split Variable,Merge Attribute,Remove Attribute Annotation,Split Attribute,Add Parameter Annotation,Remove Parameter Annotation,sum,delta
"(hex.pca.PCAJMHScoring.measureQuasarScoring,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeNaNConstants,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsReadWithFinalChunk,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.mojo.glm.GlmMojoBench.score0_nRows,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.AUCBuilderBench.perRow,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.psvm.SupportVectorScorerBench.bulkScoringParsed,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeFloats,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeIntegersConstants,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.util.IcedHashMapBench.writeReadMap,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsWithBulkRead,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.rawArrayRead,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.psvm.SupportVectorScorerBench.bulkScoringRaw,241cec1da1419639275208778c1ab319a72d013b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
