"(Benchmark_method, commit)",Extract Method,Extract Variable,Extract Interface,Add Parameter,Change Variable Type,Change Attribute Type,Extract Superclass,Pull Up Method,Change Package,Move Class,Move Source Folder,Remove Method Annotation,Add Method Annotation,Change Parameter Type,Move Attribute,Add Attribute Annotation,Remove Attribute Annotation,Inline Method,Extract And Move Method,Modify Method Annotation,Add Class Annotation,Remove Class Annotation,Change Return Type,Extract Class,Move Method,Inline Variable,Replace Variable With Attribute,Remove Parameter,Split Variable,Parameterize Variable,Split Parameter,Pull Up Attribute,Move And Inline Method,Add Parameter Annotation,Remove Parameter Annotation,Extract Attribute,sum,delta
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.LocatorBenchmark.measure,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.LocatorBenchmark.measure,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,fb806515e791e12a12f8c724224cbda93f40ac70)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,31bd8727e7f9c922f4c4f19c6a77b7c168aa9673)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
