"(Benchmark_method, commit)",Add Parameter,Add Method Annotation,Change Attribute Type,Replace Variable With Attribute,Move Class,Change Return Type,Change Variable Type,Move Attribute,Move Method,Change Parameter Type,Remove Parameter,Extract Variable,Extract And Move Method,Extract Method,Reorder Parameter,Add Class Annotation,Modify Class Annotation,Inline Method,Remove Method Annotation,Extract Class,Pull Up Method,Inline Variable,Extract Attribute,Extract Superclass,Pull Up Attribute,Extract Interface,Move Source Folder,Remove Parameter Annotation,Parameterize Variable,Change Package,Add Parameter Annotation,Modify Method Annotation,Split Attribute,Extract Subclass,Push Down Attribute,Push Down Method,Split Variable,Move And Inline Method,Merge Attribute,Merge Parameter,Merge Variable,Split Parameter,Remove Class Annotation,Replace Attribute,Add Variable Annotation,sum,delta
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax_using_ClassCopyProvider,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark2,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark4,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark5,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.converter.RealTypeConvertersBenchmark.converter,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndFast,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark6,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark3,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax_using_ClassCopyProvider,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark2,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark4,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark5,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndFast,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark6,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark3,a588a04717798595e384fa64902e0d453870ce68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
