"(Benchmark_method, commit)",Extract Method,Add Method Annotation,Change Parameter Type,Change Variable Type,Change Return Type,Remove Parameter,Inline Method,Pull Up Attribute,Move And Inline Method,Add Class Annotation,Modify Class Annotation,Add Parameter,Change Attribute Type,Inline Variable,Move Source Folder,Remove Method Annotation,Modify Method Annotation,Extract Variable,Pull Up Method,Add Attribute Annotation,Move Method,Move Attribute,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Extract And Move Method,Extract Superclass,Remove Class Annotation,Move Class,Extract Interface,Change Package,Extract Attribute,Reorder Parameter,Merge Attribute,Merge Parameter,Remove Parameter Annotation,Parameterize Variable,Replace Variable With Attribute,Remove Attribute Annotation,Modify Attribute Annotation,Merge Variable,Replace Attribute,Split Attribute,Split Variable,sum,delta
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_repeatXoutX_timesX3X,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_repeatXoutX_timesX2X,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_mapXout_out_valuesXnameX_toListX,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testEdgePropertyStep,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddE,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddV,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testEdgeProperty,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_match_selectXbX_valuesXnameX,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.driver.GraphBinaryReaderWriterBenchmark.readBytecode1,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.driver.GraphBinaryReaderWriterBenchmark.readP1,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_localXout_out_valuesXnameX_foldX,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddVAddEWithPropsChained,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddVertex,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"(org.apache.tinkerpop.jsr223.JavaTranslatorBenchmark.testTranslationWithStrategy,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_label_groupCount,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_out_out_path,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.driver.GraphBinaryReaderWriterBenchmark.writeBytecode2,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.driver.SerializationBenchmark.testReadMessage2Binary,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.TraversalConstructionBenchmark.testAddVWithPropsChained,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.TraversalConstructionBenchmark.testAddVAddEWithPropsChained,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddVertexWithProps,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testVertexProperty,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"(org.apache.tinkerpop.gremlin.driver.SerializationBenchmark.testReadMessage1Binary,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testVertexPropertyStep,f80990b0cc99df428a16743e704199c019c716dc)",0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
