"(Benchmark_method, commit)",Change Attribute Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Extract Method,Remove Method Annotation,Add Parameter,Modify Method Annotation,Inline Method,Extract Variable,Inline Variable,Change Return Type,Extract Superclass,Pull Up Method,Add Parameter Annotation,Remove Parameter,Remove Parameter Annotation,Move Method,Add Class Annotation,Replace Variable With Attribute,Move And Inline Method,Parameterize Variable,Reorder Parameter,Replace Attribute,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Remove Class Annotation,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Add Attribute Annotation,Remove Variable Annotation,Remove Attribute Annotation,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Modify Class Annotation,Merge Variable,Extract Attribute,Modify Attribute Annotation,Merge Parameter,Split Attribute,Add Variable Annotation,sum,delta
"(io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowableConvert,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.pipelineMaybe,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableSwitchMapCompletablePerf.flowablePlain,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapSingle1,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.observeOnMaybe,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingPerf.observableBlockingLast,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.RxVsStreamPerf.rangeObservableFlatMapJust,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapMaybePerf.observableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorFlatMapPerf.flatMapIntPassthruSync,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.subscribeOnFlowable,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.ToFlowablePerf.flowableInner,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableDedicated,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
