"(Benchmark_method, commit)",Change Attribute Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Extract Method,Remove Method Annotation,Add Parameter,Modify Method Annotation,Inline Method,Extract Variable,Inline Variable,Change Return Type,Extract Superclass,Pull Up Method,Add Parameter Annotation,Remove Parameter,Remove Parameter Annotation,Move Method,Add Class Annotation,Replace Variable With Attribute,Move And Inline Method,Parameterize Variable,Reorder Parameter,Replace Attribute,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Remove Class Annotation,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Add Attribute Annotation,Remove Variable Annotation,Remove Attribute Annotation,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Modify Class Annotation,Merge Variable,Extract Attribute,Modify Attribute Annotation,Merge Parameter,Split Attribute,Add Variable Annotation,sum,delta
"(io.reactivex.xmapz.ObservableFlatMapSinglePerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableSwitchMapMaybePerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableSwitchMapMaybeEmptyPerf.observableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.bounded1m,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.StrictPerf.external,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.TakeUntilPerf.flowable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.observeOnObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorMergePerf.mergeTwoAsyncStreamsOfN,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.RxVsStreamPerf.rangeObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.pipelineObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorMergePerf.oneStreamOfNthatMergesIn1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapIterable0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapMaybe0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingGetPerf.observableBlockingLast,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.parallel.ParallelPerf.flatMap,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.observeOnSingle,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.ReducePerf.obsSingle,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingPerf.observableBlockingFirst,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapSingle1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.pipelineObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapMaybeEmptyPerf.observableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.subject1m,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.pipelineSingle,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableSwitchMapSinglePerf.flowablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.unbounded1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapIterableAsObs0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.RxVsStreamPerf.rangeObservableFlatMap,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlattenCrossMapPerf.flowable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.singleFlatMapObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapSinglePerf.observableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapMaybePerf.observableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapMaybePerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapSinglePerf.observableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapIterableAsFlow1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlattenCrossMapPerf.observable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapFlowable1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapIterableAsFlow0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.parallel.ParallelPerf.parallel,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.subscribeOnObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingGetPerf.completable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.observeOnSingle,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableSwitchMapCompletablePerf.flowableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.pipelineCompletable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableSwitchMapMaybeEmptyPerf.observableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.completableFlatMapObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.StrictPerf.internal,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableFlatMapMaybePerf.flowableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.bounded1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.unbounded1m,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapCompletable0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapMaybeEmptyPerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.maybeFlatMapObservable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.singleFlatMapHidePublisher,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlatMapJustPerf.flowable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapSingleAsObs1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.completableFlatMapPublisher,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorFlatMapPerf.flatMapIntPassthruAsync,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorMergePerf.mergeNSyncStreamsOfN,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.CallableAsyncPerf.observeOnFlowable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observableDedicated,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableSwitchMapMaybePerf.observableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlatMapJustPerf.observable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableFlatMapMaybeEmptyPerf.flowablePlain,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.FlattenJustPerf.flowable,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableConcatMapMaybePerf.observableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapSingleAsFlow1,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableConvert,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapCompletableAsObs0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.obsFlatMapIterable0,d7d0a33e04e4b409789fc67ec94883bf0e828c64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
