"(Benchmark_method, commit)",Extract Variable,Change Return Type,Remove Method Annotation,Add Method Annotation,Extract Method,Inline Method,Extract Class,Move Attribute,Change Attribute Type,Change Parameter Type,Change Variable Type,Modify Parameter Annotation,Move Method,Remove Parameter,Add Parameter,Extract Superclass,Pull Up Method,Pull Up Attribute,Modify Method Annotation,Modify Class Annotation,Add Parameter Annotation,Add Class Annotation,Remove Parameter Annotation,Extract Attribute,Inline Variable,Extract And Move Method,Move Class,Modify Attribute Annotation,Add Attribute Annotation,Parameterize Variable,Move And Inline Method,Remove Class Annotation,Move Source Folder,Extract Interface,Replace Variable With Attribute,Push Down Method,Change Package,Extract Subclass,Push Down Attribute,Reorder Parameter,Merge Parameter,Merge Attribute,Split Parameter,Split Attribute,Merge Variable,Remove Attribute Annotation,sum,delta
"(io.jooby.internal.ChiBenchmark.staticMatch,1f5710dcbc690ebc3bac8489a187967b5c07caae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,266adb31b80dee973a7a7eb4ca37906eef595785)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,266adb31b80dee973a7a7eb4ca37906eef595785)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,266adb31b80dee973a7a7eb4ca37906eef595785)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,533adb58cc7f2ad6981d86d9479fb53ea723b781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,533adb58cc7f2ad6981d86d9479fb53ea723b781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,99bbebc3bbaf767287857bb896159b7a393905fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,99bbebc3bbaf767287857bb896159b7a393905fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,b27765e03ad0e8247cea1452c71c255857b9eadd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,b27765e03ad0e8247cea1452c71c255857b9eadd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
