"(Benchmark_method, commit)",Remove Method Annotation,Change Return Type,Move Method,Extract Variable,Inline Method,Change Parameter Type,Add Method Annotation,Move Class,Extract Method,Inline Variable,Add Parameter,Extract Superclass,Pull Up Attribute,Pull Up Method,Extract And Move Method,Extract Attribute,Change Attribute Type,Remove Parameter,Change Variable Type,Modify Attribute Annotation,Add Attribute Annotation,Merge Attribute,Modify Method Annotation,Move And Inline Method,Extract Class,Move Attribute,Move Source Folder,Add Class Annotation,Modify Class Annotation,Change Package,Replace Variable With Attribute,Remove Class Annotation,Remove Attribute Annotation,Merge Variable,Reorder Parameter,Parameterize Variable,Split Attribute,Extract Interface,Push Down Method,Remove Parameter Annotation,Add Parameter Annotation,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,f19d51b97fd65fe2431ab30353ccbe8d2e95e535)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,d0ddf9cbbe6837ad27c289a6bad243c36b7f145e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,d0ddf9cbbe6837ad27c289a6bad243c36b7f145e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,d0ddf9cbbe6837ad27c289a6bad243c36b7f145e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,d0ddf9cbbe6837ad27c289a6bad243c36b7f145e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,c6612329a3250a5e390f5acdd766a4b509fa4027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,c6612329a3250a5e390f5acdd766a4b509fa4027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,c6612329a3250a5e390f5acdd766a4b509fa4027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,c6612329a3250a5e390f5acdd766a4b509fa4027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
