"(Benchmark_method, commit)",Extract Variable,Add Class Annotation,Remove Class Annotation,Remove Method Annotation,Change Variable Type,Add Method Annotation,Remove Parameter,Replace Variable With Attribute,Change Return Type,Extract Method,Change Attribute Type,Add Parameter,Change Package,Move Class,Extract Class,Move Method,Move Attribute,Add Attribute Annotation,Change Parameter Type,Move And Inline Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Modify Class Annotation,Inline Method,Merge Parameter,Push Down Method,Extract Subclass,Push Down Attribute,Reorder Parameter,Add Parameter Annotation,Inline Variable,Modify Method Annotation,Merge Variable,Parameterize Variable,Extract And Move Method,Merge Attribute,Extract Interface,Remove Variable Annotation,Split Parameter,Split Variable,Remove Attribute Annotation,sum,delta
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageReaderPerformance.testReadRendered,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testReadRendered,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageWriterPerformance.testWriteWithSequence,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.OpenJpegProcessorPerformance.process,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.processWithBMP,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageWriterPerformance.testWriteWithBufferedImage,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithFLV,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.processWithBMP,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.readInfoWithJPG,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testGetMetadata,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
