"(Benchmark_method, commit)",Add Parameter,Remove Parameter,Extract Method,Extract Attribute,Extract Variable,Add Method Annotation,Extract Class,Move Method,Remove Method Annotation,Pull Up Method,Move Source Folder,Change Parameter Type,Extract And Move Method,Change Attribute Type,Change Variable Type,Change Return Type,Remove Parameter Annotation,Extract Interface,Add Class Annotation,Replace Attribute,Extract Superclass,Pull Up Attribute,Remove Class Annotation,Change Package,Move Class,Replace Variable With Attribute,Inline Method,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Move Attribute,Modify Method Annotation,Inline Variable,Parameterize Variable,Split Attribute,Move And Inline Method,Add Parameter Annotation,Merge Variable,Split Parameter,Reorder Parameter,Split Variable,sum,delta
"(org.apache.arrow.vector.util.TransferPairBenchmarks.splitAndTransferIntVector,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.testJdbcToArrow,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.setValidityBitBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncodeHashMapBenchmarks.testHashMap,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncodeHashMapBenchmarks.testDictionaryEncodeHashMap,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,330dbff4be5fa676f8acb6ee14ce0279123b3af4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
