"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Add Attribute Annotation,Add Class Annotation,Add Parameter Annotation,Add Method Annotation,Extract Class,Move Method,Move Attribute,Add Parameter,Remove Class Annotation,Inline Method,Remove Parameter,Modify Class Annotation,Modify Method Annotation,Extract Variable,Remove Method Annotation,Parameterize Variable,Push Down Attribute,Push Down Method,Change Package,Move Class,Inline Variable,Remove Attribute Annotation,Pull Up Method,Move Source Folder,Extract Interface,Modify Parameter Annotation,Modify Attribute Annotation,Extract Superclass,Pull Up Attribute,Merge Variable,Merge Parameter,Replace Variable With Attribute,Remove Parameter Annotation,Reorder Parameter,Merge Attribute,Remove Variable Annotation,Extract And Move Method,sum,delta
"(org.zalando.logbook.HeaderBenchmark.autoconfigurationRequest,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.plain,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"(org.zalando.logbook.HeaderBenchmark.replace1xResponse,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonRequest,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.noop,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xResponseShopify,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xResponse,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType1,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType4,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.defaultRequest,df9afb097e34b64bdfaf3a9e10854e46a9bcccc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.defaultResponse,49fb75c04033e957523fa735407e5e27124fc09e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.zalando.logbook.HeaderBenchmark.replace2xRequest,49fb75c04033e957523fa735407e5e27124fc09e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
