"(Benchmark_method, commit)",Extract Variable,Change Attribute Type,Change Variable Type,Inline Method,Remove Method Annotation,Add Class Annotation,Add Method Annotation,Change Parameter Type,Move Method,Extract Method,Extract And Move Method,Extract Attribute,Replace Variable With Attribute,Remove Class Annotation,Move Class,Change Package,Change Return Type,Inline Variable,Move Attribute,Remove Parameter,Merge Attribute,Extract Interface,Extract Superclass,Pull Up Method,Parameterize Variable,Move And Inline Method,Add Parameter,Split Attribute,Modify Attribute Annotation,Modify Class Annotation,Pull Up Attribute,Replace Attribute,Add Attribute Annotation,Extract Class,Move Source Folder,Modify Method Annotation,Extract Subclass,Push Down Method,Push Down Attribute,Reorder Parameter,Merge Parameter,Merge Variable,sum,delta
"(squidpony.performance.RNGBenchmark.measureThunderIntR,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureWispInt,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.DijkstraBenchmark.measureTinyPathCustomDijkstra,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.DijkstraBenchmark.measureScanDijkstra,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureFNVInt,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.WaypointBenchmark.measurePath,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.NoiseBenchmark.measureWhirling3D,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.RNGBenchmark.a__measureThrust,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.DijkstraBenchmark.measurePathGDXAStar,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.NoiseBenchmark.measureWhirling4D,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.DijkstraBenchmark.measureTinyPathOldDijkstra,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureFNV,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.CoordPackerBenchmark.measurePack,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.CoordPackerBenchmark.measureSurfaceG,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.CoordPackerBenchmark.measureIntersectG,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.RNGBenchmark.measureMathUtilsInt,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.RNGBenchmark.measureLightR,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.NoiseBenchmark.measureWhirlingAlt2D,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.WaypointBenchmark.measureWaypoint,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.NoiseBenchmark.measurePerlin2D,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.RNGBenchmark.measureGDXInt,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureMistInt,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.LOSBenchmark.measureOrtho,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureMist,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.LOSBenchmark.measureBresenham,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.DijkstraBenchmark.measureTinyPathGDXAStar,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.LOSBenchmark.measureRay,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.WaypointBenchmark.measurePath3,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureLightning,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.NoiseBenchmark.measureMerlin2D,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.WaypointBenchmark.measurePath2,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.RNGBenchmark.measureLightIntR,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.RNGBenchmark.measureMathUtils,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.CoordPackerBenchmark.measureUnionG,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.FOVCacheBenchmark.measureFOV,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureFalcon,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.NoiseBenchmark.measurePerlin4D,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureFalconInt,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(squidpony.performance.HashBenchmark.measureStorm,29168d22b051e574df15479d1443aa26097c0162)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
