"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Add Parameter,Change Attribute Type,Add Method Annotation,Extract Method,Move Method,Change Return Type,Merge Variable,Move Class,Inline Method,Parameterize Variable,Extract Variable,Extract Class,Remove Method Annotation,Move Attribute,Add Class Annotation,Extract And Move Method,Change Package,Pull Up Method,Remove Parameter,Inline Variable,Push Down Method,Move And Inline Method,Modify Method Annotation,Extract Superclass,Split Attribute,Pull Up Attribute,Extract Attribute,Add Parameter Annotation,Merge Parameter,Remove Class Annotation,Remove Parameter Annotation,Merge Attribute,Replace Variable With Attribute,Modify Class Annotation,Remove Attribute Annotation,Add Attribute Annotation,Split Variable,Extract Interface,Reorder Parameter,Extract Subclass,Push Down Attribute,Modify Attribute Annotation,Move Source Folder,Remove Variable Annotation,Split Parameter,Replace Attribute,Modify Parameter Annotation,Add Variable Annotation,Modify Variable Annotation,sum,delta
"(io.netty.microbenchmark.common.NetUtilBenchmark.useGetByNameIpv4,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.HeapByteBufBenchmark.getByte,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.concurrent.RunnableScheduledFutureAdapterBenchmark.cancelInReverseOrder,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http2.HpackDecoderULE128Benchmark.decodeMaxLong,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpMethodMapBenchmark.newMapUnknownMethods,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.http.HttpObjectEncoderBenchmark.fullMessage,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.PooledByteBufAllocatorAlignBenchmark.read,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeUtf8ViaArray,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.concurrent.RunnableScheduledFutureAdapterBenchmark.cancelInOrder,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeUtf8StringViaArray,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
