"(Benchmark_method, commit)",Add Method Annotation,Add Parameter,Extract Method,Remove Method Annotation,Change Variable Type,Pull Up Method,Extract Variable,Change Attribute Type,Change Return Type,Change Parameter Type,Inline Variable,Remove Parameter,Move Attribute,Extract Attribute,Extract And Move Method,Move Class,Parameterize Variable,Extract Subclass,Push Down Attribute,Push Down Method,Inline Method,Move Source Folder,Move Method,Remove Parameter Annotation,Move And Inline Method,Extract Superclass,Modify Method Annotation,Pull Up Attribute,Replace Variable With Attribute,Merge Parameter,Add Class Annotation,Extract Class,Add Parameter Annotation,Split Attribute,Reorder Parameter,Change Package,Merge Attribute,Split Parameter,Remove Attribute Annotation,Remove Class Annotation,Add Attribute Annotation,Split Variable,Modify Class Annotation,Merge Variable,Extract Interface,Remove Variable Annotation,Add Variable Annotation,Modify Attribute Annotation,Replace Attribute,Modify Variable Annotation,sum,delta
"(org.elasticsearch.common.RoundingBenchmark.round,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.DateFormatterBenchmark.parseJodaDate,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoSingleMutableBimorphicInvocation,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcDayOfMonthJava,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoSingleMutableMonmorphicInvocation,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcQuarterOfYearJava,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcYearOfCenturyJoda,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_08,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitJava,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.fs.AvailableIndexFoldersBenchmark.availableIndexFolderNaive,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitJoda,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoSingleImmutableBimorphicInvocation,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitDayOfMonthJava,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.routing.allocation.AllocationBenchmark.measureAllocation,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcMonthOfYearJava,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.DateFormatterFromBenchmark.benchmarkFrom,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_32,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
