"(Benchmark_method, commit)",Change Attribute Type,Change Return Type,Change Parameter Type,Change Variable Type,Modify Method Annotation,Extract Interface,Extract Class,Move Attribute,Move Method,Remove Parameter,Move Source Folder,Move Class,Remove Method Annotation,Remove Class Annotation,Extract Method,Add Parameter,Extract Variable,Pull Up Attribute,Pull Up Method,Reorder Parameter,Add Method Annotation,Parameterize Variable,Inline Method,Change Package,Remove Parameter Annotation,Extract And Move Method,Move And Inline Method,Add Parameter Annotation,Extract Attribute,Modify Attribute Annotation,Remove Attribute Annotation,Add Attribute Annotation,Modify Class Annotation,Inline Variable,Add Class Annotation,Extract Superclass,Modify Parameter Annotation,Merge Parameter,Push Down Method,Merge Variable,Replace Variable With Attribute,Extract Subclass,Push Down Attribute,Merge Attribute,Split Parameter,Split Variable,Split Attribute,sum,delta
"(org.panda_lang.framework.language.interpreter.pattern.PatternBenchmark.singleKeywordRegex,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.utilities.inject.DependencyInjectionBenchmark.raw,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulJava,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.utilities.inject.DependencyInjectionBenchmark.di,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.panda_lang.framework.language.interpreter.pattern.PatternBenchmark.singleKeywordLinear,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.interpreter.pattern.PatternBenchmark.singleKeywordCustom,0b9ae3ba38e06d509a26330da27629d5aeb3eefe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulJava,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulPanda,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,07d97cbd8cda8f93bb1a3971e8a3d9037fc79b8d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,254c32cdd7927d1cc789114397cff2b915fc3994)",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,254c32cdd7927d1cc789114397cff2b915fc3994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulJava,254c32cdd7927d1cc789114397cff2b915fc3994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,254c32cdd7927d1cc789114397cff2b915fc3994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,254c32cdd7927d1cc789114397cff2b915fc3994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulPanda,254c32cdd7927d1cc789114397cff2b915fc3994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,254c32cdd7927d1cc789114397cff2b915fc3994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,f9aa3d0e6d0354914504a85d9019b3b6f505aa0f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,f9aa3d0e6d0354914504a85d9019b3b6f505aa0f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulJava,f9aa3d0e6d0354914504a85d9019b3b6f505aa0f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,f9aa3d0e6d0354914504a85d9019b3b6f505aa0f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
