"(Benchmark_method, commit)",Change Parameter Type,Change Return Type,Change Attribute Type,Change Variable Type,Extract Interface,Pull Up Method,Move Method,Extract And Move Method,Extract Method,Move Attribute,Inline Method,Extract Class,Replace Variable With Attribute,Extract Attribute,Move Source Folder,Inline Variable,Extract Variable,Merge Parameter,Parameterize Variable,Move Class,Change Package,Pull Up Attribute,Extract Superclass,Replace Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Merge Variable,sum,delta
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.NoReasoningBenchmark.initialize,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoning,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions,6df7cbe8aea90fd3e3a04963e3ac3206d141d281)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
