"(Benchmark_method, commit)",Change Package,Move Class,Change Attribute Type,Change Parameter Type,Change Variable Type,Move Source Folder,Extract Variable,Extract Method,Inline Method,Move Attribute,Extract And Move Method,Replace Variable With Attribute,Change Return Type,Parameterize Variable,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Inline Variable,Extract Superclass,Extract Class,Pull Up Attribute,Pull Up Method,Move Method,Extract Interface,Split Attribute,Extract Attribute,Merge Variable,Split Parameter,Merge Attribute,Replace Attribute,Split Variable,sum,delta
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setWithValueHolder,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,a40d6b66fa94d447a5d653b40425ed049a5cf43c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
