"(Benchmark_method, commit)",Move Class,Extract Method,Change Return Type,Change Attribute Type,Change Variable Type,Extract Superclass,Extract Class,Pull Up Method,Move Method,Inline Method,Extract Variable,Move Source Folder,Change Parameter Type,Pull Up Attribute,Extract And Move Method,Inline Variable,Change Package,Move Attribute,Parameterize Variable,Extract Subclass,Push Down Method,Extract Attribute,Push Down Attribute,Replace Variable With Attribute,Split Variable,Replace Attribute,Extract Interface,Split Parameter,Merge Attribute,Merge Parameter,sum,delta
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseShortQuery,18f38c2090760bdbecd25581705e14b557fabd00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,18f38c2090760bdbecd25581705e14b557fabd00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.LettuceActiveBenchmark.benchmarkLettuce,18f38c2090760bdbecd25581705e14b557fabd00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,18f38c2090760bdbecd25581705e14b557fabd00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,18f38c2090760bdbecd25581705e14b557fabd00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpMoshiReporterBenchmark.testSerialization,5a9bfac1e2698b06bb985b0358270022690788eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpNoopJsonReporterBenchmark.sendPayload,5a9bfac1e2698b06bb985b0358270022690788eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpCborJacksonReporterBenchmark.testSerialization,5a9bfac1e2698b06bb985b0358270022690788eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.NoopReporterBenchmark.testReport,5a9bfac1e2698b06bb985b0358270022690788eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.objectpool.ObjectPoolBenchmark.testThreadLocalObjectPool,5a9bfac1e2698b06bb985b0358270022690788eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
