"(Benchmark_method, commit)",Move Class,Extract Attribute,Extract Variable,Extract Method,Inline Method,Extract And Move Method,Change Variable Type,Change Return Type,Merge Attribute,Change Attribute Type,Inline Variable,Extract Class,Move Method,Move Attribute,Move Source Folder,Change Parameter Type,Change Package,Extract Superclass,Pull Up Method,Merge Variable,Push Down Method,Parameterize Variable,Split Attribute,Pull Up Attribute,Replace Variable With Attribute,Extract Interface,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,7170a89522c1605ddf6601112741a62ca32a3204)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,7170a89522c1605ddf6601112741a62ca32a3204)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,7170a89522c1605ddf6601112741a62ca32a3204)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,7170a89522c1605ddf6601112741a62ca32a3204)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,063c2ad7e37c042d13f7ae7259d0463812d9eb84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,43e1140520ada7e77bf3bce02390eda9adb58b4f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,43e1140520ada7e77bf3bce02390eda9adb58b4f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
