"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Variable Type,Change Attribute Type,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Move Attribute,Extract And Move Method,Extract Class,Extract Variable,Inline Variable,Replace Variable With Attribute,Move Class,Change Parameter Type,Change Package,Move Source Folder,Move Method,Extract Subclass,Push Down Method,Inline Method,sum,delta
"(org.apache.bcel.BCELBenchmark.baseline,964c0c8fd6abdb4c32c050db3f129edef7232cbe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,964c0c8fd6abdb4c32c050db3f129edef7232cbe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,e6c768ec51eadc2662c198937e8ef6da7e4ec8d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,e6c768ec51eadc2662c198937e8ef6da7e4ec8d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,e6c768ec51eadc2662c198937e8ef6da7e4ec8d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,d8bf84a141b46cde9f0a31294e21053bd8d7cfec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,d8bf84a141b46cde9f0a31294e21053bd8d7cfec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,d8bf84a141b46cde9f0a31294e21053bd8d7cfec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,5e2febea94ae56db7fd0729e808625f7be1f6a32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,5e2febea94ae56db7fd0729e808625f7be1f6a32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,5e2febea94ae56db7fd0729e808625f7be1f6a32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
