"(Benchmark_method, commit)",Change Return Type,Extract And Move Method,Extract Method,Inline Method,Change Attribute Type,Move Method,Change Package,Move Class,Extract Attribute,Change Parameter Type,Change Variable Type,Extract Class,Inline Variable,Extract Variable,Move Attribute,Merge Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Move Source Folder,Replace Variable With Attribute,sum,delta
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,ef51c1ecad91aad5527b8e1568e2a17748039be8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
