"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Move Attribute,Move Method,Extract And Move Method,Change Attribute Type,Extract Method,Parameterize Variable,Inline Method,Change Return Type,Split Attribute,Replace Variable With Attribute,Extract Interface,Inline Variable,Extract Variable,Move Source Folder,Move Class,Extract Class,Push Down Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Merge Variable,Change Package,sum,delta
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,0f13675abe6afed9aa574c0296a0874c977e12de)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,e1b42e03ace007acf0897d66865a7793d87bda32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,795e99337fbedc794220f0f3b32c55ee3899beb0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,1beb18b80ff5b84b87817ca0a2a4d1884254c969)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
