"(Benchmark_method, commit)",Extract Method,Extract Variable,Change Return Type,Inline Variable,Change Attribute Type,Move Method,Change Package,Move Class,Extract And Move Method,Change Variable Type,Parameterize Variable,Move Attribute,Change Parameter Type,Inline Method,Pull Up Attribute,Extract Class,Pull Up Method,sum,delta
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
