"(Benchmark_method, commit)",Add Parameter,Add Attribute Annotation,Remove Attribute Annotation,Extract Variable,Change Variable Type,Change Attribute Type,Inline Method,Remove Parameter,Move Class,Extract Method,Extract And Move Method,Change Parameter Type,Change Return Type,Add Method Annotation,Extract Class,Move Attribute,Parameterize Variable,Move Method,Replace Variable With Attribute,Modify Method Annotation,Remove Method Annotation,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Extract Superclass,Extract Interface,Split Attribute,Inline Variable,Remove Class Annotation,Add Class Annotation,Extract Attribute,Pull Up Attribute,Pull Up Method,Split Parameter,Merge Attribute,Change Package,Reorder Parameter,Merge Variable,Add Parameter Annotation,Remove Parameter Annotation,Modify Attribute Annotation,sum,delta
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,6dc5368c57b7dcd5fc3a578d5aa873e54dab6f74)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,28067af71bd902b673f1a84f24eee44874734d6b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,0c9ed77797c589e99a5d7127cca8370b5831e0a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
