"(Benchmark_method, commit)",Change Return Type,Change Parameter Type,Push Down Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Method,Extract Variable,Inline Variable,Change Attribute Type,Extract Class,Move Method,Change Variable Type,Extract And Move Method,Move Class,Extract Interface,Move Attribute,Inline Method,Change Package,Parameterize Variable,Move Source Folder,Extract Attribute,Push Down Attribute,Extract Subclass,Replace Variable With Attribute,Merge Parameter,sum,delta
"(org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.SetOps.remove,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.SingleThreadedPoll.poll,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.backoffOneNano,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.SetOps.sum,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.collections.SetOps.contains,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffConsume.tpt,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.latency.QueueBurstCost.burstCost,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
