"(Benchmark_method, commit)",Change Attribute Type,Extract Method,Extract Superclass,Extract Variable,Change Variable Type,Change Parameter Type,Change Return Type,Pull Up Method,Extract Class,Move Attribute,Pull Up Attribute,Inline Method,Inline Variable,Move Source Folder,Move Class,Replace Variable With Attribute,Move Method,Extract Interface,Push Down Attribute,Push Down Method,Parameterize Variable,Extract And Move Method,Replace Attribute,Extract Subclass,Extract Attribute,Change Package,sum,delta
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,b87ab5758c5acbe740d9a7acb52f70f45ac789d3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,b660c9ec934c70de9f6df910f9973f5630434833)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,e37aa5389cd543d7e05a0ddbf1ff73f76e1017dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,e37aa5389cd543d7e05a0ddbf1ff73f76e1017dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,e37aa5389cd543d7e05a0ddbf1ff73f76e1017dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,e37aa5389cd543d7e05a0ddbf1ff73f76e1017dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,e37aa5389cd543d7e05a0ddbf1ff73f76e1017dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,e37aa5389cd543d7e05a0ddbf1ff73f76e1017dd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
