"(Benchmark_method, commit)",Change Return Type,Change Variable Type,Extract Method,Change Parameter Type,Move Attribute,Change Attribute Type,Extract Variable,Move Class,Extract Interface,Inline Variable,Move Method,Extract Class,Parameterize Variable,Inline Method,Extract Superclass,Pull Up Method,Merge Parameter,Change Package,Extract And Move Method,Pull Up Attribute,Merge Variable,Replace Variable With Attribute,Extract Attribute,Move Source Folder,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Split Parameter,Split Variable,Split Attribute,sum,delta
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulJava,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,ce9a483f434c50c213263a236109503adb7d8fa2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,ce9a483f434c50c213263a236109503adb7d8fa2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.language.resource.parsers.expression.ExpressionBenchmark.testParser,ce9a483f434c50c213263a236109503adb7d8fa2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,7e5c8aaab7dde789fce4908452e5f182b7158eb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,7e5c8aaab7dde789fce4908452e5f182b7158eb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.language.resource.parsers.expression.ExpressionBenchmark.testParser,7e5c8aaab7dde789fce4908452e5f182b7158eb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,407acd68936eb9656a9bbf1027823735d9226b85)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,407acd68936eb9656a9bbf1027823735d9226b85)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.language.resource.parsers.expression.ExpressionBenchmark.testParser,407acd68936eb9656a9bbf1027823735d9226b85)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,14109aa06bfa0c20ba3074df4dd2069b1b86d98f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,14109aa06bfa0c20ba3074df4dd2069b1b86d98f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.language.resource.parsers.expression.ExpressionBenchmark.testParser,14109aa06bfa0c20ba3074df4dd2069b1b86d98f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,71193ada1054999aaff13a3025cbac1520589f53)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
