"(Benchmark_method, commit)",Change Parameter Type,Extract Class,Move Attribute,Extract And Move Method,Extract Method,Move Class,Extract Superclass,Move Method,Extract Variable,Inline Method,Change Return Type,Change Attribute Type,Change Variable Type,Inline Variable,Pull Up Attribute,Push Down Method,Parameterize Variable,Pull Up Method,Replace Variable With Attribute,Extract Interface,Extract Subclass,Push Down Attribute,Change Package,Extract Attribute,Merge Parameter,Merge Attribute,Merge Variable,Split Parameter,Split Attribute,Replace Attribute,Move Source Folder,Split Variable,sum,delta
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideStringJackson,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.netty,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size16,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.nettySmall,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMatch,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallStringDatabind,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepStringDatabind,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.executeFromIO,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallStringJackson,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMatch,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepBufferDatabind,c429731ae2ed9a29c45f16bcae4d334c32b302c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.executeFromIONoChecks,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.baseline,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.directLarge,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.directSmall,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size4,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContext,90455f85b2963ae1aeb94e7581fc61f1e3cc2022)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
