"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Move Method,Merge Parameter,Extract Superclass,Pull Up Method,Extract Method,Pull Up Attribute,Change Parameter Type,Move Attribute,Change Return Type,Change Attribute Type,Extract Attribute,Merge Attribute,Inline Variable,Extract And Move Method,Extract Class,Replace Variable With Attribute,Inline Method,Parameterize Variable,Merge Variable,Move Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Move Source Folder,Split Variable,Split Parameter,Replace Attribute,Change Package,sum,delta
"(io.netty.microbench.headers.HeadersBenchmark.http2AddAllFast,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.IsValidIpV6Benchmark.isValidIpV6AddressNew,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.EscapeCsvBenchmark.escapeCsvNew,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.PrivilegedSocketOperationsBenchmark.testWithoutSMNoPrivileged,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.WriteBytesVsShortOrMediumBenchmark.byteArray3,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.WriteBytesVsShortOrMediumBenchmark.chainedBytes3,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.http2.NoPriorityByteDistributionBenchmark.write,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.AbstractReferenceCountedByteBufBenchmark.retainReleaseContended,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.CodecOutputListBenchmark.codecOutList,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.concurrent.ScheduledFutureTaskBenchmark.cancelInOrder,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.http.HttpObjectEncoderBenchmark.chunked,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
