"(Benchmark_method, commit)",Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract And Move Method,Extract Class,Move Method,Move Attribute,Inline Method,Extract Method,Extract Variable,Parameterize Variable,Push Down Attribute,Push Down Method,Change Package,Move Class,Inline Variable,Move Source Folder,Extract Interface,Extract Superclass,Pull Up Attribute,Pull Up Method,Merge Variable,Merge Parameter,Replace Variable With Attribute,Merge Attribute,sum,delta
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.autoconfigurationResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.defaultRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.autoconfigurationRequest,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.defaultResponse,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace1xRequest,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.json,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.zalando.logbook.HeaderBenchmark.replace2xResponseShopify,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.plain,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType1,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType3,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.noop,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace1xResponse,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xRequest,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType2,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType4,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonResponse,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonRequest,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xResponse,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.autoconfigurationResponse,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.defaultRequest,1489bb267111f7d9144e9083936097b11ad9bbf8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.defaultResponse,765b5f5048bc8df3031db4804aae7156f097c513)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
