"(Benchmark_method, commit)",Change Variable Type,Change Attribute Type,Extract Method,Change Parameter Type,Change Return Type,Extract And Move Method,Inline Variable,Extract Variable,Merge Variable,Extract Class,Move Attribute,Inline Method,Merge Parameter,Replace Variable With Attribute,Move Class,Move Method,Parameterize Variable,Extract Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Change Package,Split Attribute,Extract Superclass,Split Parameter,Move Source Folder,Pull Up Attribute,Pull Up Method,Merge Attribute,Extract Interface,Split Variable,sum,delta
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,f2cc3b0143ade483d6d6a2ecce01ee636078d06f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,657ac2598113fa42e51b195c0ab438ae0a5d9f0c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,657ac2598113fa42e51b195c0ab438ae0a5d9f0c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,96583fc65814faccc96e6bcac828d51163fd3e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,96583fc65814faccc96e6bcac828d51163fd3e14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,cc1119740c85c5db073993747c3eed1f26e539ca)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,cc1119740c85c5db073993747c3eed1f26e539ca)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,fa446b78194a5933217d2a5d04d10589cd96afb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,fa446b78194a5933217d2a5d04d10589cd96afb9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,7ceb429723dd33607f2bdbd1e8dbd097ea9316a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,7ceb429723dd33607f2bdbd1e8dbd097ea9316a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,b123a577e75362ac6f5b05b7cfdc43c2a1f3fd55)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,b123a577e75362ac6f5b05b7cfdc43c2a1f3fd55)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,6619460e88a6f2008b39c449b0aaea7ba173055f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,6619460e88a6f2008b39c449b0aaea7ba173055f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,970d6e6dfef16c9df8de44288c1ce896d6afbb34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,970d6e6dfef16c9df8de44288c1ce896d6afbb34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,53fee4b5d25464d1e31fd2fecaf0e850b96c7cbb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,53fee4b5d25464d1e31fd2fecaf0e850b96c7cbb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
