"(Benchmark_method, commit)",Inline Method,Extract Method,Extract Attribute,Extract And Move Method,Extract Variable,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Move Class,Extract Class,Move Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Parameterize Variable,Inline Variable,Move Attribute,Replace Variable With Attribute,Push Down Method,Extract Interface,Change Package,Extract Subclass,Push Down Attribute,Move Source Folder,Merge Parameter,Merge Attribute,Split Parameter,Split Attribute,sum,delta
"(io.jooby.internal.ChiBenchmark.staticMatch,3d396b132ade804f496e86c9bf362b8b99b89385)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,86051f07ba4eeac67ba7e5deb7fbbf2a5d72f1b4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,86051f07ba4eeac67ba7e5deb7fbbf2a5d72f1b4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,77d8e578837780f5a719ba6f7be8096d13128bc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,77d8e578837780f5a719ba6f7be8096d13128bc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,cfc3588a3d3d289718e6d54a44a04096ce45ea11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,cfc3588a3d3d289718e6d54a44a04096ce45ea11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,1f5710dcbc690ebc3bac8489a187967b5c07caae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,1f5710dcbc690ebc3bac8489a187967b5c07caae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,9a0d0f54501437b663efed7ca16d59433bb7b359)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,9a0d0f54501437b663efed7ca16d59433bb7b359)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,9a0d0f54501437b663efed7ca16d59433bb7b359)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,1e37ff5df2b7fdeefc0f0e676d519c5890160fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,1e37ff5df2b7fdeefc0f0e676d519c5890160fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,1e37ff5df2b7fdeefc0f0e676d519c5890160fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,8add6c74d7ba2e9cefdd0df8c6f9a36c57967604)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,8add6c74d7ba2e9cefdd0df8c6f9a36c57967604)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,e0251df7521a80df77b722c78328d9a8291b90fb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,e0251df7521a80df77b722c78328d9a8291b90fb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,99bbebc3bbaf767287857bb896159b7a393905fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,99bbebc3bbaf767287857bb896159b7a393905fd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,a1826d3e31bde0def097367e158b050d62970028)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,a1826d3e31bde0def097367e158b050d62970028)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,4997a955e03b54267e4d5996a30054729d5726e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,4997a955e03b54267e4d5996a30054729d5726e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,ddab3e3f1bca9f1a30aac0877f67659eb12b927e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,ddab3e3f1bca9f1a30aac0877f67659eb12b927e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,384f26b586b7882274e40040be65817d651f459d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,384f26b586b7882274e40040be65817d651f459d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,384f26b586b7882274e40040be65817d651f459d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,95528e0e2e6da6caccdd23fcd1b34baa29b69027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,95528e0e2e6da6caccdd23fcd1b34baa29b69027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,a168add2c61f7ac6ae40d4a3fb5b6b21a2580875)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,a168add2c61f7ac6ae40d4a3fb5b6b21a2580875)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,bb4fc59329c80bdd9b5c4ce639f86a69e0fded08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,bb4fc59329c80bdd9b5c4ce639f86a69e0fded08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,6f683f29d7ac9d5cacd0e9d10997e1940fb4e670)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,6f683f29d7ac9d5cacd0e9d10997e1940fb4e670)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,369e333b20720cac28816193b3ebbbb3f3e1ac5d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,369e333b20720cac28816193b3ebbbb3f3e1ac5d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,5e2ffaa3e7fa55c87b8895455c99e9891d75b5af)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,5e2ffaa3e7fa55c87b8895455c99e9891d75b5af)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,3c99a5e12d195c6a72395b66aafea37c7aafbf42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,3c99a5e12d195c6a72395b66aafea37c7aafbf42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,dde3d5067c9756beee25c442ab6069d922d15eaa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,dde3d5067c9756beee25c442ab6069d922d15eaa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,414f4381ae681045853863f7558717a08b923b32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,414f4381ae681045853863f7558717a08b923b32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,414f4381ae681045853863f7558717a08b923b32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,b319128ef4300aa97342cf8bc0e9b90476641ab4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,b319128ef4300aa97342cf8bc0e9b90476641ab4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,15e5c80275f5a6202d6e2b668c76f2d45546a22a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,15e5c80275f5a6202d6e2b668c76f2d45546a22a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,d240098c9ef068a3b9af20faf75fa7a1c7f095e6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,d240098c9ef068a3b9af20faf75fa7a1c7f095e6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,6a4822fe7f853b07d4d35cb5be7317f3bbfa550c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,6a4822fe7f853b07d4d35cb5be7317f3bbfa550c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,e5188d324e08ed0cfba2757ff46e5b315e184aa4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,e5188d324e08ed0cfba2757ff46e5b315e184aa4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,e5188d324e08ed0cfba2757ff46e5b315e184aa4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,84f7eb12f3244aa32e9a2243cc52398af62ebb4f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,84f7eb12f3244aa32e9a2243cc52398af62ebb4f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,8c61fc6c82b6d02de85b257935d2319ade0a66fc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,8c61fc6c82b6d02de85b257935d2319ade0a66fc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,8c61fc6c82b6d02de85b257935d2319ade0a66fc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,9bd4c9700f0b6bfa915da1ba36d404ef891a6a04)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
