"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract Variable,Extract Attribute,Inline Variable,Replace Variable With Attribute,Inline Method,Parameterize Variable,Extract Class,Move Method,Move Attribute,Split Parameter,Extract Superclass,Extract And Move Method,Move Class,Extract Interface,Replace Attribute,Pull Up Attribute,Change Package,Extract Subclass,Push Down Attribute,Push Down Method,Pull Up Method,Move Source Folder,sum,delta
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,ca2e59c513edc2a8b30ff62595e01f8dff79f0d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,ca2e59c513edc2a8b30ff62595e01f8dff79f0d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,6f03c0ce11db4a270124b9bf93338d3db9fccf5c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,6f03c0ce11db4a270124b9bf93338d3db9fccf5c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,6f03c0ce11db4a270124b9bf93338d3db9fccf5c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,6f03c0ce11db4a270124b9bf93338d3db9fccf5c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,4f928504ea91c3c1dd43ce696acadf76624240a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,4f928504ea91c3c1dd43ce696acadf76624240a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,4f928504ea91c3c1dd43ce696acadf76624240a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,4f928504ea91c3c1dd43ce696acadf76624240a1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,f4a262df5204221184f1f5008b06957868684a25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,f4a262df5204221184f1f5008b06957868684a25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,f4a262df5204221184f1f5008b06957868684a25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,f4a262df5204221184f1f5008b06957868684a25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,f56931c176fef5e164b681c740746aebdccccec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,f56931c176fef5e164b681c740746aebdccccec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,f56931c176fef5e164b681c740746aebdccccec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,f56931c176fef5e164b681c740746aebdccccec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
